name,gender
Marianne Aminoff,f
Itsuji Itao,m
John Martino,m
Ugo Tognazzi,m
Victoire Du Bois,f
Choi Min-sik,m
Richard Sammel,m
John Carter,m
Jack Holt,m
Jennifer Lien,f
Spencer Treat Clark,m
Nicolas Cage,m
Akiji Kobayashi,m
Sigourney Weaver,f
Jorja Fox,f
Machiko Kyō,f
William Aldrich,m
Sissy Spacek,f
Malgorzata Gebel,f
Silvia Dionisio,f
Beverly Wills,f
Dillon Freasier,m
Lex Barker,m
Jean Hagen,f
Tom Skerritt,m
Viva,f
Georg John,m
Quentin Tarantino,m
Enzo Petito,m
Paulo Goulart,m
Joyce Jameson,f
Gunnar Björnstrand,m
Kimberly Campbell,f
Bess Flowers,f
Jee-Yun Lee,f
Eric Pohlmann,m
Maxim Gaudette,m
Jack Nicholson,m
Silvia Pinal,f
Harry Myers,m
Edward James Olmos,m
Elijah Wood,m
Renée Victor,f
Bibi Andersson,f
Vivian Kubrick,f
Jeremy Irons,m
Georg John,m
Carl J. Matusovich,m
Nathan Lane,m
James Phelps,m
Albert Austin,m
Suzanne Clément,f
Giacomo Poretti,m
Oona Chaplin,f
Ayane Sakura,f
Jean Harlow,f
Saburo Date,m
Haruko Kato,f
Gunnel Broström,f
Sala Baker,m
Daniel Day-Lewis,m
Michael Fox,m
Mark Ryan,m
Tatsuya Nakadai,m
Jack Bannon,m
Cristen Kauffman,f
Scarlett Johansson,f
Carla Gravina,f
Pete Postlethwaite,m
Cezary Łukaszewicz,m
Mark Gatiss,m
Roberto Cañedo,m
Frederick Vroom,m
Dominique Daguier,m
Nakajirô Tomita,m
Anne Bancroft,f
Owen Wilson,m
Dylan Bruno,m
Evangeline Lilly,f
Jon Pertwee,m
King Donovan,m
Miki Odagiri,f
Ana Ofelia Murguía,f
Joseph Cotten,m
Matheus Nachtergaele,m
Richard Roundtree,m
Stefan Godin,m
Aidan Turner,m
Martin Balsam,m
Leonard Harris,m
Michael Ontkean,m
Paul Bradley,m
Anaita Shroff Adajania,f
Benito Stefanelli,m
Enrique Rambal,m
William Schallert,m
Pat Shortt,m
Michael Stuhlbarg,m
Natalie Morales,f
Toshiyuki Toyonaga,m
H.B. Warner,m
Daisuke Ryû,m
Maria de Medeiros,f
Frank Hagney,m
Parminder Nagra,f
Martin Sheen,m
James Earl Jones,m
Michael Badalucco,m
Elijah Wood,m
Henry Fonda,m
J.J. Cohen,m
Harrison Ford,m
Gustavo Serena,m
Kamatari Fujiwara,m
Paul Weigel,m
Temuera Morrison,m
Chazz Palminteri,m
Sally Kirkland,f
John Lithgow,m
Barry Bernard,m
Bess Flowers,f
Luiz Bolognesi,m
Sandro Scarchilli,m
Bonnie Wright,f
Montgomery Clift,m
Dominic Monaghan,m
Abhishek Bharate,m
Marion Mack,f
Ving Rhames,m
Mahershala Ali,m
Gary Merrill,m
Aidan Gillen,m
Brad Dourif,m
Kim Min-hee,f
Anne Dorval,f
Mark Hamill,m
Sterling Hayden,m
Spencer Treat Clark,m
Hans-Jörg Assmann,m
Greta Lee,f
Tetsu Watanabe,m
Vladimir Vasiliev,m
Elsa Raven,f
Kim Sang-kyung,m
Lesley Dunlop,f
Arch Johnson,m
Kyû Sazanka,m
Stepan Krylov,m
Yutaka Sada,m
Takahiro Nishijima,m
Grace Kelly,f
George Davis,m
David Steen,m
Bengt Ekerot,m
Tainá Müller,f
Lucy Gallardo,f
Amanda Plummer,f
François Cluzet,m
Alex Sol,m
Ryan Hayward,m
Steve Murphy,m
Elle McKinnon,f
Inga Gill,f
Gwyneth Paltrow,f
Ted Levine,m
David Tennant,m
Edward Norton,m
Toshirō Mifune,m
Charles Halton,m
Harris Yulin,m
Charles Williams,m
Martin Brambach,m
James Cromwell,m
Anthony Perkins,m
Charlie Chaplin,m
James Marshall,m
Benedict Cumberbatch,m
Tatsuya Gashûin,f
Sara Berner,f
Wally Araújo,m
Trevor Howard,m
Lee Dong-hwi,m
Maud Hansson,f
Viviane Pascal,f
Philip Van Zandt,m
Christopher Eccleston,m
Michael Caine,m
Marc Aden Gray,m
Marlon Brando,m
Peter Dinklage,m
Takashi Shimura,m
Park Won-sang,m
Hunter Carson,m
Gwilym Lee,m
Gary Oldman,m
Sandro Moretti,m
Chris Hemsworth,m
Yuji Miyaji,m
Achala Sachdev,f
Tôru Abe,m
Ian McKellen,m
Michael J. Fox,m
Jack Klaff,m
Zaira Wasim,f
Tsutomu Tatsumi,m
Joe Cortese,m
Julie Delpy,f
Setsuko Hara,f
Jeremy Davies,m
Aleksandr Pyatkov,m
Leonardo DiCaprio,m
Matt Damon,m
Eric Berry,m
Jerry Verno,m
Linda Kaye,f
Anna Magnani,f
Antonio Molino Rojo,m
Fernando Sampaio,m
William H. Macy,m
Ben Affleck,m
Ying Da,m
Norman Lloyd,m
Maria Pia Casilio,f
Masao Mishima,m
Nathan George,m
Peggy Lipton,f
Clancy Brown,m
Milena Vukotic,f
Bjarne Henriksen,m
Paul Lazar,m
John C. McGinley,m
Gael García Bernal,m
