name,gender
Carlo Simi,m
Thomas Newman,m
J. Russell Spencer,m
Quentin Tarantino,m
Stan Lee,m
Chiwetel Ejiofor,m
Dylan Tichenor,m
Billy Wilder,m
Kim Woo-taek,m
Henri-Georges Clouzot,m
David Luther,m
Manon Rasmussen,f
Thomas Newman,m
Roger Taylor,m
Clyde Bruckman,m
Rodney Rothman,m
Saul Bass,m
Peter Murton,m
Ted D. McCord,m
Jack Fisk,m
Kevin Feige,m
Kim Dong-joo,m
David Ray,m
Aditya Chopra,m
David Fincher,m
Makoto Naito,m
Fred C. Blau Jr.,m
Clyde Bruckman,m
Fabiano Gullane,m
Lawrence Bender,m
Anthony Burgess,m
Leslie Bloom,m
Dianne Crittenden,f
Arnold Messer,m
Carlo Leva,m
Roger Allers,m
Kenneth Kokin,m
Bill Carraro,m
Robert Jones,m
Christopher Nolan,m
Timothy M. Bourne,m
Peter George,m
David Lynch,m
Thomas E. Sanders,m
Gaston Glass,m
Richard N. Gladstein,m
Lawrence G. Paull,m
Carl Theodor Dreyer,m
Giuseppe Tornatore,m
Fritz Lang,m
Michael Powell,m
David Permut,m
Elisa Tolomelli,f
John F. Seitz,m
Douglas Wick,m
Kazuo Miyagawa,m
Sergio Amidei,m
Ennio Morricone,m
Damien Chazelle,m
Akira Kurosawa,m
George Roy Hill,m
Claudia Büschel,f
Tai Katô,m
Tang Shiang-Chu,m
Todd Lieberman,m
Edgar G. Ulmer,m
Kenneth Utt,m
Charles D. Hall,m
Deborah Aquila,f
Sôjirô Motoki,m
Chung Seo-kyung,f
Mary Zophres,f
Newton Thomas Sigel,m
Kevin Feige,m
Masato Hara,m
Gary Rizzo,m
John Lasseter,m
Carl Jules Weyl,m
Vinod Rathod,m
John Hoesli,m
Anthony DeRosa,m
Jean-Paul Mugel,m
Horton Foote,m
David McKenna,m
Charlie Chaplin,m
James M. Cain,m
Esteban Bravo,m
Stanley Kubrick,m
Quentin Tarantino,m
Thierry Arbogast,m
Aleksandr Boym,m
Dimitri Tiomkin,m
Peter Weir,m
Henry Farrell,m
Eraldo Da Roma,m
David Lazan,m
Peter Jackson,m
Stanley Kubrick,m
Kim Min-gi,m
Roger Deakins,m
Adolph Green,m
Francis Ford Coppola,m
Dan Weil,m
Toru Takemitsu,m
Jane Feinberg,f
Andrei Tarkovsky,m
Sarah Finn,f
Farciot Edouart,m
Christopher Markus,m
Christopher Markus,m
Kirsty McGregor,f
Lothar G. Buchheim,m
Vicky Herman,f
Mike Fenton,m
Fritz Lang,m
Juliet Taylor,f
"George Tillman, Jr.",m
Gilbert Taylor,m
Nadine Labaki,f
Upton Sinclair,m
Georges Arnaud,m
John Sloss,m
Nick Vallelonga,m
Herman J. Mankiewicz,m
George Tomasini,m
Tom Fleischman,m
Harry Crocker,m
Brian May,m
Kym Barrett,f
Orson Welles,m
Bob Weinstein,m
Frank Marshall,m
Cesare Zavattini,m
Jim Shields,m
Charlie Chaplin,m
Shirô Moritani,m
Lee Hae-jun,m
Jan Harlan,m
Chris Columbus,m
Anne Østerud,f
Bong Joon-ho,m
Peter Farrelly,m
Lilly Wachowski,f
Agnès Mentre,f
Cesare Zavattini,m
Frank Darabont,m
Dorota Kobiela,f
Robert Rodat,m
Lana Wachowski,f
John Alcott,m
Jason Reitman,m
Peter Bucossi,m
John Landis,m
Charlie Kaufman,m
Ennio Morricone,m
Marty Bowen,m
Sven Nykvist,m
Billy Wilder,m
Mark Ricker,m
Brad Grey,m
Jung Du-hwan,m
Wally Pfister,m
Tom Schulman,m
Flavia Lhacer,f
Edward Tise,m
Stephenie McMillan,f
Michelle Lannon,f
Michihiro Itou,m
Frank Galline,m
Jack Cardiff,m
Chi-Leung Kwong,m
John Morris,m
Mark Robins,m
Lisa Fruchtman,f
Chris Kennedy,m
Reginald Rose,m
Anthony Russo,m
Günter Rohrbach,m
Martin Scorsese,m
Charlsie Bryant,f
Michelle McGahey,f
Frank Noack,m
Lee Dong-jun,m
Ken Adam,m
Thomas Harris,m
Erich Pommer,m
Alfred Hitchcock,m
Harry Jierjian,m
James W. Brown,m
John Ottman,m
Christopher Markus,m
Robert Burks,m
Federico Fellini,m
Kheiron,m
Roger Christian,m
Frank Capra,m
Stanley Kubrick,m
Noriyoshi Oohira,m
David Julyan,m
Daniel Filho,m
Harry Keramidas,m
Janty Yates,f
Dustin O'Halloran,m
William Chang,m
Hugh Welchman,m
Adrian Molina,m
Randall Duell,m
Leon Vitali,m
Carl Lerner,m
Jacek won Dehnel,m
Don Guest,m
Gary Goetzman,m
Kathleen Kennedy,f
Adriana Falcão,f
Christopher Ball,m
Wong Kar-wai,m
Martin Scorsese,m
Barrie M. Osborne,m
Charlie Chaplin,m
Joseph Walker,m
Simone Bär,f
Lindy Hemming,f
Carol Reed,m
Giuseppe Tornatore,m
Steven Moffat,m
Kōgo Noda,m
Ira H. Morgan,m
Bertrand Calmeau,m
Pier Paolo Pasolini,m
Sara Andrews,f
Rick Alexander,m
Walter Ruttmann,m
Monique Prudhomme,f
Danilo Donati,m
Geoffrey Unsworth,m
Rudolph Maté,m
Paul Thomas Anderson,m
Andrei Tarkovsky,m
